"Error! Payment failed, please try again later.","Error! Payment failed, please try again later."
"Error! Could not place order.","Error! Could not place order."
"Apple Pay is not properly configured","Apple Pay is not properly configured"
"Apple Pay is not supported on your browser","Apple Pay is not supported on your browser"
"Visa and MasterCard","Visa and MasterCard"
"Mada Online","Mada Online"
"Please enter a valid Saudi Mobile Number","Please enter a valid Saudi Mobile Number"
"Account Mobile Number":"Account Mobile Number"
"One-Time Password":"One-Time Password"
"Pay":"Pay"
"Card Holder Name","Name on card"
